"GEOID","bus_count","propBuffQuarter","propBuffHalf"
"390610093001",15,0.662617198640721,0.843582560284606
"390610093002",15,0.999999999939781,0.999999999939781
"390610093003",4,0.911863893197495,1.00000000004578
"390610093004",4,0.693261951741146,1.00000000004764
"390610094001",5,0.748423323883566,0.999999999953733
"390610095001",2,1.00000000001092,1.00000000001092
"390610095002",5,1.00000000002031,1.00000000002031
"390610095003",7,0.846259909171975,1.00000000001962
"390610096001",10,0.744313406473915,1.00000000002979
"390610096002",8,0.368133410022615,0.900112712253624
"390610096003",10,0.999999999986701,0.999999999986701
"390610096004",8,0.973843455657661,0.999999999974484
"390610097001",6,0.649015701107672,1.00000000001198
"390610097002",2,0.440917667366193,0.990401331534063
"390610097003",10,0.557342527767041,0.893690028846626
"390610097004",4,0.625517017285123,1.00000000003737
"390610097005",3,0.714548697494839,0.999999999957496
"390610098001",3,0.125784908715851,0.488084185475947
"390610099011",10,0.773849469895597,1.00000000003886
"390610099012",6,0.69214611271153,1.0000000000015
"390610099013",13,0.869000522573688,0.999999999969187
"390610099021",11,0.534512366122278,0.930306769526128
"390610099022",15,0.680879665290361,0.941537418674382
"390610100021",10,0.886909662933903,1.00000000005609
"390610100022",7,0.310041412436415,0.962352149805753
"390610100023",6,0.873314424965056,0.999999999927614
"390610100024",11,0.510378486888219,0.999999999956161
"390610100025",17,0.481373912818972,0.864277323482998
"390610100031",21,0.587987487257244,0.968387515065591
"390610100032",15,0.819717137423254,1.00000000002271
"390610100033",1,0.593654182155573,1.000000000006
"390610100041",6,0.699929113184782,1.00000000000329
"390610100042",8,0.347338877541835,0.667473526897811
"390610100043",4,0.450263143204394,0.858970549744276
"390610100051",5,0.325237155234462,0.711526553158355
"390610101001",28,0.275102258305281,0.517342982061885
"390610101002",9,0.413171442016279,0.849039089912387
"390610101003",44,0.883863896174253,1.00000000004331
"390610102011",24,0.991096859595129,1.00000000009545
"390610102012",2,0.847441981259505,1.00000000001734
"390610102013",35,0.776505736006147,0.980629189008586
"390610102014",20,0.787411504160425,1
"390610102015",24,0.999999999949701,0.999999999949701
"390610102021",20,0.931085492244422,0.999999999921804
"390610102022",12,0.636483229786907,0.998847080343617
"390610102023",8,0.594782852127155,0.981613060247842
"390610103001",9,0.62068396821081,0.959976270743705
"390610103002",40,0.67586889105665,0.969432598340092
"390610104001",70,0.827861594062683,1.00000004770399
"390610104002",2,0.456972494577179,0.890322269673004
"390610105001",5,0.551527663537259,0.928480342323274
"390610105002",5,0.332538375960075,0.562037319724373
"390610106001",30,0.602746923068033,0.891862155444523
"390610107002",9,0.953896729843536,1.0000000000713
"390610108001",11,0.679426568586176,1.00000000004262
"390610109001",25,1.00000000004936,1.00000000004936
